N_POINTS,N_THREADS,EXEC_TIME,L
10000000,1,0.2749817371368408,c
10000000,1,0.28742313385009766,c
10000000,1,0.27033472061157227,c
10000000,2,0.20186924934387207,c
10000000,2,0.21795392036437988,c
10000000,2,0.20158123970031738,c
10000000,2,0.21014094352722168,c
10000000,2,0.20439743995666504,c
10000000,4,0.17844343185424805,c
10000000,4,0.17264652252197266,c
10000000,4,0.18600130081176758,c
10000000,4,0.16652154922485352,c
10000000,4,0.17044782638549805,c
10000000,8,0.1677837371826172,c
10000000,8,0.17308735847473145,c
10000000,8,0.16610074043273926,c
10000000,8,0.15574979782104492,c
10000000,8,0.17301201820373535,c
10000000,16,0.14916276931762695,c
10000000,16,0.13814663887023926,c
10000000,16,0.15309858322143555,c
10000000,16,0.13988113403320312,c
10000000,16,0.15134549140930176,c
100000000,1,2.482722282409668,c
100000000,1,2.466625690460205,c
100000000,1,2.497654676437378,c
100000000,1,2.447293281555176,c
100000000,1,2.4480462074279785,c
100000000,2,2.0516183376312256,c
100000000,2,2.052644968032837,c
100000000,2,2.1024646759033203,c
100000000,2,2.077768087387085,c
100000000,2,1.8870713710784912,c
100000000,4,1.666316032409668,c
100000000,4,1.6186959743499756,c
100000000,4,1.652376651763916,c
100000000,4,1.4662103652954102,c
100000000,4,1.5851771831512451,c
100000000,8,1.5100984573364258,c
100000000,8,1.5565996170043945,c
100000000,8,1.522958755493164,c
100000000,8,1.5874137878417969,c
100000000,8,1.5194706916809082,c
100000000,16,1.32010817527771,c
100000000,16,1.3463366031646729,c
100000000,16,1.2942302227020264,c
100000000,16,1.3053932189941406,c
100000000,16,1.3366210460662842,c
